"Treatment","LINE","SEX","REP","TIME","censor","ID"
"1","C","1","H","9",4,"right","1 - 9 - H - C"
"2","C","1","H","9",2.85,"none","1 - 9 - H - C"
"3","C","1","H","11",2.23,"none","1 - 11 - H - C"
"4","C","1","H","12",1.75,"none","1 - 12 - H - C"
"5","C","1","H","13",1.17,"none","1 - 13 - H - C"
"6","P","1","M","4",2.13,"none","1 - 4 - M - P"
"7","P","1","M","4",2.31,"none","1 - 4 - M - P"
"8","C","1","M","6",2.7,"none","1 - 6 - M - C"
"9","C","1","M","6",2.6,"none","1 - 6 - M - C"
"10","C","1","M","6",2.81,"none","1 - 6 - M - C"
"11","C","1","M","8",2.05,"none","1 - 8 - M - C"
"12","C","1","M","8",1.59,"none","1 - 8 - M - C"
"13","C","1","M","9",1.8,"none","1 - 9 - M - C"
"14","P","2","H","3",3.07,"none","2 - 3 - H - P"
"15","P","2","H","3",4,"right","2 - 3 - H - P"
"16","P","2","H","4",2.35,"none","2 - 4 - H - P"
"17","P","2","H","6",3.25,"none","2 - 6 - H - P"
"18","P","2","H","7",3.44,"none","2 - 7 - H - P"
"19","C","2","H","8",1.66,"none","2 - 8 - H - C"
"20","C","2","H","9",3.25,"none","2 - 9 - H - C"
"21","C","2","H","9",4,"right","2 - 9 - H - C"
"22","C","2","H","9",3.18,"none","2 - 9 - H - C"
"23","C","2","H","10",1.67,"none","2 - 10 - H - C"
"24","C","2","H","11",2.96,"none","2 - 11 - H - C"
"25","C","2","H","13",2.59,"none","2 - 13 - H - C"
"26","C","2","H","13",1.36,"none","2 - 13 - H - C"
"27","C","2","H","13",0.96,"none","2 - 13 - H - C"
"28","P","2","M","1",2.98,"none","2 - 1 - M - P"
"29","P","2","M","1",0.87,"none","2 - 1 - M - P"
"30","P","2","M","2",2.03,"none","2 - 2 - M - P"
"31","P","2","M","3",2.32,"none","2 - 3 - M - P"
"32","C","2","M","9",0.97,"none","2 - 9 - M - C"
"33","C","2","M","11",1.79,"none","2 - 11 - M - C"
"34","C","2","M","11",2.57,"none","2 - 11 - M - C"
"35","C","2","M","11",3.91,"none","2 - 11 - M - C"
"36","C","2","M","12",2.72,"none","2 - 12 - M - C"
"37","C","2","M","13",1.97,"none","2 - 13 - M - C"
"38","C","2","M","13",2.45,"none","2 - 13 - M - C"
"39","C","2","M","13",1.41,"none","2 - 13 - M - C"
"40","P","1","H","5",1.73,"none","1 - 5 - H - P"
"41","P","1","H","5",2.73,"none","1 - 5 - H - P"
"42","C","1","H","7",2.19,"none","1 - 7 - H - C"
"43","C","1","H","10",4,"right","1 - 10 - H - C"
"44","C","1","M","5",3.34,"none","1 - 5 - M - C"
"45","C","1","M","5",2.7,"none","1 - 5 - M - C"
"46","P","2","H","1",2.41,"none","2 - 1 - H - P"
"47","P","2","H","4",3.11,"none","2 - 4 - H - P"
"48","C","2","M","10",1.09,"none","2 - 10 - M - C"
"49","P","4","H","3",1.86,"none","4 - 3 - H - P"
"50","P","4","H","5",2.83,"none","4 - 5 - H - P"
"51","P","4","H","8",4,"right","4 - 8 - H - P"
"52","C","4","H","9",3.76,"none","4 - 9 - H - C"
"53","C","4","H","10",3.39,"none","4 - 10 - H - C"
"54","C","4","H","10",2.28,"none","4 - 10 - H - C"
"55","C","4","H","11",1.59,"none","4 - 11 - H - C"
"56","C","4","H","11",3.61,"none","4 - 11 - H - C"
"57","C","4","H","16",2.8,"none","4 - 16 - H - C"
"58","C","4","H","16",1.13,"none","4 - 16 - H - C"
"59","P","4","M","1",2.83,"none","4 - 1 - M - P"
"60","P","4","M","1",2.28,"none","4 - 1 - M - P"
"61","P","4","M","1",2.35,"none","4 - 1 - M - P"
"62","P","4","M","5",2.09,"none","4 - 5 - M - P"
"63","P","4","M","6",2.78,"none","4 - 6 - M - P"
"64","C","4","M","8",2.03,"none","4 - 8 - M - C"
"65","C","4","M","8",3.39,"none","4 - 8 - M - C"
"66","P","4","H","5",2.57,"none","4 - 5 - H - P"
"67","P","4","H","5",3.89,"none","4 - 5 - H - P"
"68","P","4","H","5",1.98,"none","4 - 5 - H - P"
"69","C","4","H","8",1.92,"none","4 - 8 - H - C"
"70","C","4","H","9",3.2,"none","4 - 9 - H - C"
"71","C","4","H","9",2.47,"none","4 - 9 - H - C"
"72","C","4","H","9",4,"right","4 - 9 - H - C"
"73","C","4","H","9",4,"right","4 - 9 - H - C"
"74","C","4","H","10",3.59,"none","4 - 10 - H - C"
"75","C","4","H","10",3.17,"none","4 - 10 - H - C"
"76","C","4","H","10",3.13,"none","4 - 10 - H - C"
"77","C","4","H","10",2.49,"none","4 - 10 - H - C"
"78","C","4","H","10",2.3,"none","4 - 10 - H - C"
"79","C","4","H","11",2.48,"none","4 - 11 - H - C"
"80","C","4","H","11",4,"right","4 - 11 - H - C"
"81","C","4","H","11",1.79,"none","4 - 11 - H - C"
"82","C","4","H","11",4,"right","4 - 11 - H - C"
"83","C","4","H","12",2.54,"none","4 - 12 - H - C"
"84","C","4","H","13",2.71,"none","4 - 13 - H - C"
"85","C","4","H","13",4,"right","4 - 13 - H - C"
"86","C","4","H","13",4,"right","4 - 13 - H - C"
"87","C","4","H","13",4,"right","4 - 13 - H - C"
"88","C","4","H","13",4,"right","4 - 13 - H - C"
"89","C","4","H","14",2.38,"none","4 - 14 - H - C"
"90","P","4","M","1",2.38,"none","4 - 1 - M - P"
"91","P","4","M","4",1.67,"none","4 - 4 - M - P"
"92","C","4","M","7",2.86,"none","4 - 7 - M - C"
"93","C","4","M","7",2.13,"none","4 - 7 - M - C"
"94","C","4","M","7",1.03,"none","4 - 7 - M - C"
"95","C","4","M","9",2.27,"none","4 - 9 - M - C"
"96","C","4","M","11",3.39,"none","4 - 11 - M - C"
"97","P","3","H","3",2.2,"none","3 - 3 - H - P"
"98","C","3","H","6",3.71,"none","3 - 6 - H - C"
"99","C","3","H","6",2.7,"none","3 - 6 - H - C"
"100","C","3","H","7",4,"right","3 - 7 - H - C"
"101","C","3","H","7",1.88,"none","3 - 7 - H - C"
"102","C","3","H","7",1.64,"none","3 - 7 - H - C"
"103","C","3","H","9",3.27,"none","3 - 9 - H - C"
"104","C","3","H","11",2.64,"none","3 - 11 - H - C"
"105","C","3","H","11",3.88,"none","3 - 11 - H - C"
"106","C","3","H","11",1.79,"none","3 - 11 - H - C"
"107","C","3","H","11",2.15,"none","3 - 11 - H - C"
"108","P","3","M","2",1.45,"none","3 - 2 - M - P"
"109","P","3","M","2",1.33,"none","3 - 2 - M - P"
"110","P","3","M","2",2.22,"none","3 - 2 - M - P"
"111","P","3","M","2",1.79,"none","3 - 2 - M - P"
"112","P","3","M","2",1.26,"none","3 - 2 - M - P"
"113","P","3","M","3",0.82,"none","3 - 3 - M - P"
"114","P","3","M","7",1.21,"none","3 - 7 - M - P"
"115","C","3","M","8",4,"right","3 - 8 - M - C"
"116","C","3","M","9",1.45,"none","3 - 9 - M - C"
"117","C","3","M","10",4,"right","3 - 10 - M - C"
"118","P","3","H","1",1.77,"none","3 - 1 - H - P"
"119","P","3","H","1",1.79,"none","3 - 1 - H - P"
"120","P","3","H","1",3.48,"none","3 - 1 - H - P"
"121","P","3","H","2",2.87,"none","3 - 2 - H - P"
"122","P","3","H","2",0.68,"none","3 - 2 - H - P"
"123","P","3","H","2",1.72,"none","3 - 2 - H - P"
"124","C","3","H","3",4,"right","3 - 3 - H - C"
"125","C","3","H","4",1.57,"none","3 - 4 - H - C"
"126","C","3","H","4",3.83,"none","3 - 4 - H - C"
"127","P","3","M","3",1.18,"none","3 - 3 - M - P"
"128","P","3","M","4",1.75,"none","3 - 4 - M - P"
"129","P","3","M","4",1.55,"none","3 - 4 - M - P"
"130","P","3","M","5",2.23,"none","3 - 5 - M - P"
"131","P","3","M","5",1.29,"none","3 - 5 - M - P"
"132","C","3","M","6",2.39,"none","3 - 6 - M - C"
"133","C","3","M","7",3.07,"none","3 - 7 - M - C"
"134","C","3","M","7",1.02,"none","3 - 7 - M - C"
"135","C","3","M","7",2.45,"none","3 - 7 - M - C"
"136","C","3","M","8",2.46,"none","3 - 8 - M - C"
"137","C","3","M","8",1.28,"none","3 - 8 - M - C"
"138","C","3","M","10",2.58,"none","3 - 10 - M - C"
"139","P","3","H","3",0.76,"none","3 - 3 - H - P"
"140","P","3","H","5",1.8,"none","3 - 5 - H - P"
"141","P","3","H","5",1.48,"none","3 - 5 - H - P"
"142","C","3","H","7",4,"right","3 - 7 - H - C"
"143","C","3","H","7",3.98,"none","3 - 7 - H - C"
"144","C","3","H","7",3.82,"none","3 - 7 - H - C"
"145","C","3","H","8",2.22,"none","3 - 8 - H - C"
"146","C","3","H","8",4,"right","3 - 8 - H - C"
"147","C","3","H","9",4,"right","3 - 9 - H - C"
"148","C","3","H","9",2.77,"none","3 - 9 - H - C"
"149","C","3","M","8",3.07,"none","3 - 8 - M - C"
"150","C","3","M","8",2.34,"none","3 - 8 - M - C"
"151","C","3","M","8",3.77,"none","3 - 8 - M - C"
"152","C","3","M","9",1.58,"none","3 - 9 - M - C"
"153","P","3","H","1",2.51,"none","3 - 1 - H - P"
"154","P","3","H","8",0.87,"none","3 - 8 - H - P"
"155","C","3","H","14",2.46,"none","3 - 14 - H - C"
"156","C","3","H","14",1.55,"none","3 - 14 - H - C"
"157","C","3","H","14",4,"right","3 - 14 - H - C"
"158","C","3","H","17",3.74,"none","3 - 17 - H - C"
"159","C","3","H","17",2.75,"none","3 - 17 - H - C"
"160","C","3","H","17",3,"none","3 - 17 - H - C"
"161","C","3","H","17",2.66,"none","3 - 17 - H - C"
"162","C","3","H","20",2.51,"none","3 - 20 - H - C"
"163","C","3","H","20",1.27,"none","3 - 20 - H - C"
"164","C","3","H","21",1.63,"none","3 - 21 - H - C"
"165","C","3","H","25",2.87,"none","3 - 25 - H - C"
"166","C","3","H","25",0.71,"none","3 - 25 - H - C"
"167","P","3","M","9",2.56,"none","3 - 9 - M - P"
"168","P","3","M","9",1.77,"none","3 - 9 - M - P"
"169","C","3","M","15",2.1,"none","3 - 15 - M - C"
"170","C","3","M","16",3.25,"none","3 - 16 - M - C"
"171","C","3","M","16",4,"right","3 - 16 - M - C"
"172","C","3","M","16",4,"right","3 - 16 - M - C"
"173","C","3","M","22",1.16,"none","3 - 22 - M - C"
"174","C","3","M","22",1.45,"none","3 - 22 - M - C"
"175","C","3","M","23",3.1,"none","3 - 23 - M - C"
"176","C","3","M","23",1.58,"none","3 - 23 - M - C"
"177","C","3","M","23",2.97,"none","3 - 23 - M - C"
"178","C","3","M","24",3.28,"none","3 - 24 - M - C"
"179","C","3","M","24",1.54,"none","3 - 24 - M - C"
"180","C","3","M","24",2.04,"none","3 - 24 - M - C"
"181","C","3","M","25",3.55,"none","3 - 25 - M - C"
"182","P","1","H","1",1.6,"none","1 - 1 - H - P"
"183","P","1","H","1",2.29,"none","1 - 1 - H - P"
"184","P","1","H","1",2.27,"none","1 - 1 - H - P"
"185","P","1","H","1",1.56,"none","1 - 1 - H - P"
"186","P","1","H","1",1.94,"none","1 - 1 - H - P"
"187","P","1","H","2",2.49,"none","1 - 2 - H - P"
"188","P","1","H","2",2.35,"none","1 - 2 - H - P"
"189","P","1","H","2",2.24,"none","1 - 2 - H - P"
"190","P","1","H","2",1.75,"none","1 - 2 - H - P"
"191","P","1","H","2",1.08,"none","1 - 2 - H - P"
"192","P","1","H","3",1.65,"none","1 - 3 - H - P"
"193","P","1","H","3",1.15,"none","1 - 3 - H - P"
"194","P","1","H","3",3.38,"none","1 - 3 - H - P"
"195","P","1","H","3",2.42,"none","1 - 3 - H - P"
"196","P","1","H","3",1.57,"none","1 - 3 - H - P"
"197","P","1","H","4",2.9,"none","1 - 4 - H - P"
"198","P","1","H","4",1.67,"none","1 - 4 - H - P"
"199","P","1","H","4",2.83,"none","1 - 4 - H - P"
"200","P","1","H","4",1.3,"none","1 - 4 - H - P"
"201","P","1","H","4",2.13,"none","1 - 4 - H - P"
"202","P","1","H","5",1.47,"none","1 - 5 - H - P"
"203","P","1","H","5",3.08,"none","1 - 5 - H - P"
"204","P","1","H","5",2.83,"none","1 - 5 - H - P"
"205","P","1","H","5",2.32,"none","1 - 5 - H - P"
"206","P","1","H","5",2.62,"none","1 - 5 - H - P"
"207","P","1","H","6",2.92,"none","1 - 6 - H - P"
"208","P","1","H","6",1.34,"none","1 - 6 - H - P"
